2025-01-29 14:04:39 - $GPCHC,2351,299090.00,0.00,0.25,1.73,0.50,-0.09,0.04,-0.0302,0.0043,0.9990,0.00000000,0.00000000,0.00,0.000,0.000,0.000,0.000,13,0,00,0,0002*56


2025-01-29 14:04:40 - $GPCHC,2351,299091.00,0.00,0.25,1.72,0.48,-0.11,0.02,-0.0300,0.0043,0.9985,0.00000000,0.00000000,0.00,0.000,0.000,0.000,0.000,17,0,00,0,0002*52


2025-01-29 14:04:41 - $GPCHC,2351,299092.00,0.00,0.26,1.72,0.50,-0.10,0.02,-0.0300,0.0045,0.9999,38.69218620,35.62021653,1426.89,-0.116,0.185,-0.002,0.218,17,0,61,0,0002*6F


2025-01-29 14:04:42 - $GPCHC,2351,299093.00,0.00,0.25,1.72,0.50,-0.10,0.09,-0.0300,0.0044,0.9993,38.69218620,35.62021653,1426.89,-0.116,0.185,-0.002,0.218,16,0,61,0,0002*6C


2025-01-29 14:04:43 - $GPCHC,2351,299094.00,0.00,0.24,1.76,0.51,-0.08,0.02,-0.0306,0.0043,0.9988,0.00000000,0.00000000,0.00,0.000,0.000,0.000,0.000,15,0,00,0,0002*5B


2025-01-29 14:04:44 - $GPCHC,2351,299095.00,0.00,0.25,1.73,0.48,-0.07,0.06,-0.0301,0.0044,0.9989,38.69219013,35.62024454,1429.13,0.263,0.145,0.593,0.300,13,0,61,0,0002*67


2025-01-29 14:04:45 - $GPCHC,2351,299096.00,0.00,0.25,1.72,0.49,-0.07,0.03,-0.0301,0.0044,0.9989,38.69214851,35.62027958,1423.20,0.308,0.152,0.659,0.343,14,0,61,0,0002*65


2025-01-29 14:04:46 - $GPCHC,2351,299097.00,0.00,0.31,1.57,0.55,-0.09,0.13,-0.0275,0.0055,1.0048,38.69213542,35.62032812,1423.63,-0.010,0.078,0.405,0.079,13,0,61,0,0002*46


2025-01-29 14:04:47 - $GPCHC,2351,299098.00,0.00,0.31,1.61,0.46,-0.14,0.05,-0.0281,0.0055,0.9989,38.69216060,35.62027109,1426.79,-0.283,0.091,0.233,0.298,13,0,61,0,0002*4A


2025-01-29 14:04:48 - $GPCHC,2351,299099.00,0.00,0.25,1.80,0.44,0.04,0.03,-0.0314,0.0044,0.9995,38.69220568,35.62021027,1425.76,-0.466,0.103,-0.244,0.477,13,0,61,0,0002*4B


2025-01-29 14:04:49 - $GPCHC,2351,299100.00,0.00,0.23,1.67,0.53,-0.25,0.08,-0.0292,0.0041,1.0018,38.69220728,35.62018513,1424.91,-0.788,0.219,-0.982,0.818,12,0,61,0,0002*60


2025-01-29 14:04:50 - $GPCHC,2351,299101.00,0.00,0.20,1.80,0.47,-0.09,0.07,-0.0314,0.0036,0.9971,38.69216970,35.62023824,1424.31,-0.379,0.001,-0.330,0.379,12,0,61,0,0002*6D


2025-01-29 14:04:51 - $GPCHC,2351,299102.00,0.00,0.24,1.78,0.48,-0.00,0.07,-0.0309,0.0041,0.9946,38.69220325,35.62017247,1422.70,-0.671,0.075,-0.805,0.675,13,0,61,0,0002*6C


2025-01-29 14:04:52 - $GPCHC,2351,299103.00,0.00,0.32,1.59,0.52,-0.13,0.03,-0.0279,0.0055,1.0033,38.69218718,35.62017824,1420.57,-0.520,0.045,-0.756,0.522,13,0,61,0,0002*61


2025-01-29 14:04:53 - $GPCHC,2351,299104.00,0.00,0.18,1.85,0.46,0.02,0.05,-0.0322,0.0032,0.9953,38.69218592,35.62019693,1421.11,0.067,-0.049,-0.173,0.083,13,0,61,0,0002*42


2025-01-29 14:04:54 - $GPCHC,2351,299105.00,0.00,0.29,1.60,0.51,-0.17,0.02,-0.0279,0.0052,1.0016,38.69217789,35.62020392,1421.42,0.932,-0.401,0.716,1.015,13,0,61,0,0002*43


2025-01-29 14:04:55 - $GPCHC,2351,299106.00,0.00,0.26,1.75,0.45,0.04,0.07,-0.0305,0.0045,1.0002,38.69218113,35.62017010,1422.45,1.037,-0.601,0.582,1.199,13,0,61,0,0002*6B


2025-01-29 14:04:56 - $GPCHC,2351,299107.00,0.00,0.26,1.71,0.50,-0.02,0.07,-0.0299,0.0045,1.0015,38.69214431,35.62021676,1423.03,0.890,-0.561,0.304,1.052,14,0,61,0,0002*42


